number,title,user,labels,created_at,updated_at,closed_at,body
50386,Fix issue with destroy after RestartParentTransaction and SavepointTransaction rollback,mguan2020,activerecord,2023-12-18T00:03:36Z,2023-12-23T23:03:24Z,,"

<!--
Thanks for contributing to Rails!

Please do not make *Draft* pull requests, as they still send
notifications to everyone watching the Rails repo.

Create a pull request when it is ready for review and feedback
from the Rails team :).

If your pull request affects documentation or any non-code
changes, guidelines for those changes are [available
here](https://edgeguides.rubyonrails.org/contributing_to_ruby_on_rails.html#contributing-to-the-rails-documentation)

About this template

The following template aims to help contributors write a good description for their pull requests.
We'd like you to provide a description of the changes in your pull request (i.e. bugs fixed or features added), motivation behind the changes, and complete the checklist below before opening a pull request.

Feel free to discard it if you need to (e.g. when you just fix a typo). -->

### Motivation / Background

<!--
Describe why this Pull Request needs to be merged. What bug have you fixed? What feature have you added? Why is it important?
If you are fixing a specific issue, include ""Fixes #ISSUE"" (replace with the issue number, remove the quotes) and the issue will be linked to this PR.
-->

This Pull Request has been created in order to fix issue #50338.

### Detail

This Pull Request provides a working solution for the destroy function for the cases of RestartParentTransaction and SavepointTransaction. 

Previously, the destroy function was not properly removing entries from the database for the RestartParentTransaction and SavepointTransaction. If @_trigger_destroy_callback is true at the beginning of the destroy function, destroy_row would never be invoked.

This Pull Request will ensure destroy_row is invoked when @_trigger_destroy_callback is true at the beginning of the destroy function. This will remove the corresponding row from the database. Otherwise, if @_trigger_destroy_callback is false, destroy_row is only invoked if persisted? is true.

### Additional information

<!-- Provide additional information such as benchmarks, reference to other repositories or alternative solutions. -->

### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Changes that are unrelated should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [x] Tests are added or updated if you fix a bug or add a feature.
* [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
50385,Rails forces excessive Redis connections,nhorton,,2023-12-17T22:14:03Z,2023-12-18T15:37:30Z,2023-12-18T15:32:40Z,"### Steps to reproduce
Configure ActionCable, Sidekiq, and Caching to all use Redis. Then throw in any direct use via redis-rb or such for good measure.
The 3 native rails ones will all generate their own pools of connections. If you had 20 threads, you would likely end up with ~60+ connections while you could never really use all of those because one thread can't be using a connection for each use at the same time.

Note that even if there is the instinctive ""you should not put Cache and Queueing in the same redis instance"" it still makes sense to have 2 redis instances in total - one for persistent items like queues and another for transient items like cache. And users should be able to make use of those connections for the same types of purposes the same way they can with ActiveRecord::Base.connection.

### Expected behavior
There should be an ability to configure anything in Rails that needs access to Redis using a ConnectionPool instead of config settings only. That way users can create their pools once and pass them in. It would be even better if there was a concept of a default redis pool that you could set and others would fall back to.

Additionally, it would be great if you could access the connection pool instance each service was using similar to ActiveRecord::Base.connection.

### Actual behavior
Separate Redis pools get generated that can't be accessed.

### System configuration
Validated on Rails 7.0.4 and 7.1 but I have not looked further back.
"
50384,Fix railspect not validating alphabetical order,skipkayhil,docs,2023-12-17T22:09:32Z,2023-12-21T22:19:01Z,,"One of the original goals of these checks was to validate that configuration stays in alphabetical order, as this provides a deterministic order for the configuration to be validated against.

However, it appears there has been a regression in that check and it has only been validating that configurations are present. This commit restores the ordering check and then uses `railspect configuration . -a` to fix the configurations that ended up out of order.

This should be backported to 7-1-stable"
50382,Fix multi-database polymorphic preloading with equivalent table names,summera,activerecord,2023-12-17T18:28:32Z,2023-12-17T19:53:35Z,,"### Motivation / Background
I work with an application that utilizes a polymorphic association that spans multiple databases. A basic example would be something like this, where `Notification#notifiable` could reference `Comment` or `OtherNamespace::Comment`, which exist on two separate databases but happen to have the same table name:

```ruby
# app/models/notification.rb
class Notification < ApplicationRecord
  belongs_to :notifiable, polymorphic: true
end

# app/models/comment.rb
class Comment < ApplicationRecord
  self.table_name = ""comments""
end

# app/models/application_record.rb
class ApplicationRecord < ActiveRecord::Base
  self.abstract_class = true

  connects_to database: { writing: :primary }
end

# app/models/other_namespace/comment.rb
module OtherNamespace
  class Comment < OtherNamespace::Base
    self.table_name = ""comments""
  end
end

# app/models/other_namespace/base.rb
module OtherNamespace
  class Base < ApplicationRecord
    self.abstract_class = true

    connects_to database: { writing: :other_namespace }
  end
end
```

Prior to upgrading to Rails 7.0, the following would preload both `Comment`s and `OtherNamespace::Comment`s:

```ruby
comment = Comment.create
other_namespace_comment = OtherNamespace::Comment.create

Notification.create(notifiable: comment)
Notification.create(notifiable: other_namespace_comment)

# Prior to Rails 7.0, this would preload the related `Comment`s and `OtherNamespace::Comment`s
Notification.all.includes(:notifiable)
```

After upgrading to Rails 7.0, we noticed that only `Comment`s were being preloading and `OtherNamespace::Comment`s were not. 

After some digging, I tracked the difference in behavior down to [PR #41385](https://github.com/rails/rails/pull/41385). In this PR there were some optimizations made to combine association preloading into less queries when possible. This was later optimized a bit further in [PR #41597](https://github.com/rails/rails/pull/41597). 

From what I can tell [`ActiveRecord::Associations::Preloader::Batch#group_and_load_similar`](https://github.com/rails/rails/blob/a7f1d63a3bf92e5c07400afefd6016cdf48208a2/activerecord/lib/active_record/associations/preloader/batch.rb#L40), queries are being grouped and loaded. That comparison is being done based on [`ActiveRecord::Associations::Preloader::Association::LoaderQuery#eql?`](https://github.com/rails/rails/blob/a7f1d63a3bf92e5c07400afefd6016cdf48208a2/activerecord/lib/active_record/associations/preloader/association.rb#L17), which is the following:

```ruby
  def eql?(other)
    association_key_name == other.association_key_name &&
      scope.table_name == other.scope.table_name &&
      scope.values_for_queries == other.scope.values_for_queries
  end
```

As you can see, in the polymorphic use case shown above the loaders for `OtherNamespace::Comment` and `Comment` would be considered equivalent since they have the same `association_key_name` (`notifiable` in this case), `table_name` (`comments` in this case), and `values_for_queries` (`id` in this case). By comparing them this way it results in  `OtherNamespace::Comment` not being preloaded after the Rails 7.0 upgrade.  

### Detail
Using the existing models and relationships in the test suite, I was able to generate a failing test case. I've also included a proposed fix which adds a loader comparison on `scope.connection_specification_name`. The idea is to prevent two tables with the same name on two separate databases from being considered equivalent when preloading associations.

Another idea would be to replace the `table_name` comparison with `name` (the class name). I tried this and all tests pass, but I'm unsure if this could be problematic in other cases, such as when using single table inheritance. If there's another way of achieving the desired result with a different comparison, I'm happy to change the logic!

### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Changes that are unrelated should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [x] Tests are added or updated if you fix a bug or add a feature.
* [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.

Happy to add a Changelog entry if it's needed."
50381,Fix `guides/active_record_migrations.rb` template to use the current migrations version,fatkodima,docs,2023-12-17T09:37:51Z,2023-12-22T07:36:58Z,2023-12-17T14:10:20Z,"Fixes https://github.com/rails/rails/issues/50380.

The regression was introduced in https://github.com/rails/rails/pull/50317/files#diff-6353d2979a5ebdafe8f7d31056f091de3e47b9bfafe5503630e5b0da951d8d3dR10-R12

cc @zzak @yahonda "
50380,"active_record_migrations.rb raises `Unknown migration version ""7.2""; expected one of ""4.2"", ""5.0"", ""5.1"", ""5.2"", ""6.0"", ""6.1"", ""7.0"", ""7.1"" (ArgumentError)`",yahonda,ci issues,2023-12-17T08:34:03Z,2023-12-17T14:10:21Z,2023-12-17T14:10:21Z,"There is a CI failure at https://buildkite.com/rails/rails/builds/102815#018c7671-f43c-4e7a-a654-03893ab28d0f/1384-1395

### Steps to reproduce

```ruby
git clone https://github.com/rails/rails
cd rails/guides/bug_report_templates
ruby active_record_migrations.rb
```

### Expected behavior
It should pass.

### Actual behavior
It raises `Unknown migration version ""7.2""; expected one of ""4.2"", ""5.0"", ""5.1"", ""5.2"", ""6.0"", ""6.1"", ""7.0"", ""7.1"" (ArgumentError)`.

```ruby
$ ruby active_record_migrations.rb
Fetching gem metadata from https://rubygems.org/...........
Resolving dependencies....
Using rake 13.1.0
Using base64 0.2.0
Using timeout 0.4.1
Using mini_mime 1.1.5
Using date 3.3.4
Using bundler 2.3.22
Using io-console 0.7.1
Using stringio 3.1.0
Using webrick 1.8.1
Using thor 1.3.0
Using sqlite3 1.6.9 (x86_64-linux)
Using net-protocol 0.2.2
Using psych 5.1.1.1
Using reline 0.4.1
Using connection_pool 2.4.1
Using ruby2_keywords 0.0.5
Using minitest 5.20.0
Using mutex_m 0.2.0
Using builder 3.2.4
Using erubi 1.12.0
Using racc 1.7.3
Using crass 1.0.6
Using rack 3.0.8
Using drb 2.2.0
Using nokogiri 1.15.5 (x86_64-linux)
Using net-imap 0.4.8
Using net-pop 0.1.2
Using net-smtp 0.4.0
Using rdoc 6.6.2
Using websocket-extensions 0.1.5
Using bigdecimal 3.1.5
Using marcel 1.0.2
Using concurrent-ruby 1.2.2
Using nio4r 2.7.0
Using loofah 2.22.0
Using rack-session 2.0.0
Using rack-test 2.1.0
Using websocket-driver 0.7.6
Using mail 2.8.1
Using irb 1.10.1
Using rackup 2.1.0
Using zeitwerk 2.6.12
Using i18n 1.14.1
Using rails-html-sanitizer 1.6.0
Using tzinfo 2.0.6
Using activesupport 7.1.2
Using rails-dom-testing 2.2.0
Using globalid 1.2.1
Using activemodel 7.1.2
Using actionview 7.1.2
Using activejob 7.1.2
Using activerecord 7.1.2
Using actionpack 7.1.2
Using activestorage 7.1.2
Using actionmailer 7.1.2
Using actionmailbox 7.1.2
Using actioncable 7.1.2
Using actiontext 7.1.2
Using railties 7.1.2
Using rails 7.1.2
-- create_table(:payments, {:force=>true})
D, [2023-12-17T17:32:35.577211 #823527] DEBUG -- :    (0.0ms)  DROP TABLE IF EXISTS ""payments""
D, [2023-12-17T17:32:35.577532 #823527] DEBUG -- :    (0.1ms)  CREATE TABLE ""payments"" (""id"" integer PRIMARY KEY AUTOINCREMENT NOT NULL, ""amount"" decimal(10,0) DEFAULT 0 NOT NULL)
   -> 0.0078s
D, [2023-12-17T17:32:35.578502 #823527] DEBUG -- :    (0.1ms)  CREATE TABLE ""schema_migrations"" (""version"" varchar NOT NULL PRIMARY KEY)
D, [2023-12-17T17:32:35.579533 #823527] DEBUG -- :    (0.1ms)  CREATE TABLE ""ar_internal_metadata"" (""key"" varchar NOT NULL PRIMARY KEY, ""value"" varchar, ""created_at"" datetime(6) NOT NULL, ""updated_at"" datetime(6) NOT NULL)
D, [2023-12-17T17:32:35.592536 #823527] DEBUG -- :   ActiveRecord::InternalMetadata Load (1.1ms)  SELECT * FROM ""ar_internal_metadata"" WHERE ""ar_internal_metadata"".""key"" = ? ORDER BY ""ar_internal_metadata"".""key"" ASC LIMIT 1  [[nil, ""environment""]]
D, [2023-12-17T17:32:35.592848 #823527] DEBUG -- :   ActiveRecord::InternalMetadata Create (0.1ms)  INSERT INTO ""ar_internal_metadata"" (""key"", ""value"", ""created_at"", ""updated_at"") VALUES ('environment', 'development', '2023-12-17 08:32:35.592603', '2023-12-17 08:32:35.592607') RETURNING ""key""
/home/yahonda/.rbenv/versions/3.2.2/lib/ruby/gems/3.2.0/gems/activerecord-7.1.2/lib/active_record/migration/compatibility.rb:11:in `find': Unknown migration version ""7.2""; expected one of ""4.2"", ""5.0"", ""5.1"", ""5.2"", ""6.0"", ""6.1"", ""7.0"", ""7.1"" (ArgumentError)

          raise ArgumentError, ""Unknown migration version #{version.inspect}; expected one of #{versions.sort.join(', ')}""
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
	from /home/yahonda/.rbenv/versions/3.2.2/lib/ruby/gems/3.2.0/gems/activerecord-7.1.2/lib/active_record/migration.rb:613:in `[]'
	from active_record_migrations.rb:34:in `<main>'
yahonda@myryzen:~/src/github.com/rails/rails/guides/bug_report_templates$
yahonda@myryzen:~/src/github.com/rails/rails/guides/bug_report_templates$
yahonda@myryzen:~/src/github.com/rails/rails/guides/bug_report_templates$
yahonda@myryzen:~/src/github.com/rails/rails/guides/bug_report_templates$
yahonda@myryzen:~/src/github.com/rails/rails/guides/bug_report_templates$ ruby active_record_migrations.rb
Fetching gem metadata from https://rubygems.org/...........
Resolving dependencies....
Using rake 13.1.0
Using base64 0.2.0
Using bigdecimal 3.1.5
Using concurrent-ruby 1.2.2
Using connection_pool 2.4.1
Using ruby2_keywords 0.0.5
Using minitest 5.20.0
Using mutex_m 0.2.0
Using builder 3.2.4
Using erubi 1.12.0
Using racc 1.7.3
Using crass 1.0.6
Using rack 3.0.8
Using nio4r 2.7.0
Using websocket-extensions 0.1.5
Using zeitwerk 2.6.12
Using timeout 0.4.1
Using marcel 1.0.2
Using mini_mime 1.1.5
Using date 3.3.4
Using bundler 2.3.22
Using io-console 0.7.1
Using stringio 3.1.0
Using webrick 1.8.1
Using thor 1.3.0
Using sqlite3 1.6.9 (x86_64-linux)
Using drb 2.2.0
Using i18n 1.14.1
Using tzinfo 2.0.6
Using nokogiri 1.15.5 (x86_64-linux)
Using rack-session 2.0.0
Using rack-test 2.1.0
Using websocket-driver 0.7.6
Using net-protocol 0.2.2
Using psych 5.1.1.1
Using reline 0.4.1
Using rackup 2.1.0
Using activesupport 7.1.2
Using loofah 2.22.0
Using net-imap 0.4.8
Using net-pop 0.1.2
Using net-smtp 0.4.0
Using rdoc 6.6.2
Using rails-dom-testing 2.2.0
Using irb 1.10.1
Using globalid 1.2.1
Using activemodel 7.1.2
Using activejob 7.1.2
Using rails-html-sanitizer 1.6.0
Using mail 2.8.1
Using activerecord 7.1.2
Using actionview 7.1.2
Using actionpack 7.1.2
Using actioncable 7.1.2
Using activestorage 7.1.2
Using actionmailer 7.1.2
Using railties 7.1.2
Using actionmailbox 7.1.2
Using actiontext 7.1.2
Using rails 7.1.2
-- create_table(:payments, {:force=>true})
D, [2023-12-17T17:33:01.178868 #823958] DEBUG -- :    (0.0ms)  DROP TABLE IF EXISTS ""payments""
D, [2023-12-17T17:33:01.179208 #823958] DEBUG -- :    (0.1ms)  CREATE TABLE ""payments"" (""id"" integer PRIMARY KEY AUTOINCREMENT NOT NULL, ""amount"" decimal(10,0) DEFAULT 0 NOT NULL)
   -> 0.0077s
D, [2023-12-17T17:33:01.180190 #823958] DEBUG -- :    (0.1ms)  CREATE TABLE ""schema_migrations"" (""version"" varchar NOT NULL PRIMARY KEY)
D, [2023-12-17T17:33:01.181233 #823958] DEBUG -- :    (0.1ms)  CREATE TABLE ""ar_internal_metadata"" (""key"" varchar NOT NULL PRIMARY KEY, ""value"" varchar, ""created_at"" datetime(6) NOT NULL, ""updated_at"" datetime(6) NOT NULL)
D, [2023-12-17T17:33:01.194049 #823958] DEBUG -- :   ActiveRecord::InternalMetadata Load (0.9ms)  SELECT * FROM ""ar_internal_metadata"" WHERE ""ar_internal_metadata"".""key"" = ? ORDER BY ""ar_internal_metadata"".""key"" ASC LIMIT 1  [[nil, ""environment""]]
D, [2023-12-17T17:33:01.194366 #823958] DEBUG -- :   ActiveRecord::InternalMetadata Create (0.1ms)  INSERT INTO ""ar_internal_metadata"" (""key"", ""value"", ""created_at"", ""updated_at"") VALUES ('environment', 'development', '2023-12-17 08:33:01.194117', '2023-12-17 08:33:01.194121') RETURNING ""key""
/home/yahonda/.rbenv/versions/3.2.2/lib/ruby/gems/3.2.0/gems/activerecord-7.1.2/lib/active_record/migration/compatibility.rb:11:in `find': Unknown migration version ""7.2""; expected one of ""4.2"", ""5.0"", ""5.1"", ""5.2"", ""6.0"", ""6.1"", ""7.0"", ""7.1"" (ArgumentError)

          raise ArgumentError, ""Unknown migration version #{version.inspect}; expected one of #{versions.sort.join(', ')}""
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
	from /home/yahonda/.rbenv/versions/3.2.2/lib/ruby/gems/3.2.0/gems/activerecord-7.1.2/lib/active_record/migration.rb:613:in `[]'
	from active_record_migrations.rb:34:in `<main>'
$
```
### System configuration
**Rails version**: main branch

**Ruby version**: ruby 3.2.2 (2023-03-30 revision e51014f9c0) [x86_64-linux]
"
50379,Enable `Minitest/NonExecutableTestMethod` cop,yahonda,,2023-12-17T07:09:42Z,2023-12-17T14:31:23Z,,"### Motivation / Background

This pull request enables `Minitest/NonExecutableTestMethod` cop to find non-executed test that is out of `ActiveSupport::TestCase` and its subclasses.

This cop is based on the request since there was a test that is not executed found at https://github.com/rails/rails/pull/50334#issuecomment-1851411434 and implemented to RuboCop Minitest 0.34.0 via https://github.com/rubocop/rubocop-minitest/issues/279

### Detail

This cop works as follows.
As of right now, there is no offenses by reverting the merge commit via #50334

```ruby
$ git revert -m 1 9517841
$ bundle exec rubocop
Inspecting 3254 files
... snip ...

Offenses:

activerecord/test/cases/assertions/query_assertions_test.rb:27:5: W: Minitest/NonExecutableTestMethod: Test method should be defined inside a test class to ensure execution.
    def test_assert_no_queries ...
    ^^^^^^^^^^^^^^^^^^^^^^^^^^

3254 files inspected, 1 offense detected
$
```

### Additional information

<!-- Provide additional information such as benchmarks, reference to other repositories or alternative solutions. -->

### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Changes that are unrelated should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [ ] Tests are added or updated if you fix a bug or add a feature.
* [ ] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.


"
50378,Ignore warnings like `warning: net-smtp which is not part of the default gems since Ruby 3.1.0.`,yahonda,railties,2023-12-17T06:48:50Z,2023-12-17T14:11:00Z,2023-12-17T14:11:00Z,"### Motivation / Background

This commit addresses the CI failure against Ruby master branch. https://buildkite.com/rails/rails/builds/102575#018c4147-8760-48ac-812c-4e63fbe242fa

### Detail
* Steps to reproduce

Install `ruby 3.3.0dev`
```ruby
git clone https://github.com/rails/rails
cd rails/railties
rm ../Gemfile.lock
bundle
bin/test test/application/bin_setup_test.rb -n test_bin_setup_output
```

* Without this commit

```ruby
$ ruby -v
ruby 3.3.0dev (2023-12-16T21:45:33Z master d7d10f3ee8) [x86_64-linux]
$ rm ../Gemfile.lock ; bundle ; bin/test test/application/bin_setup_test.rb -n test_bin_setup_output
... snip ...
F

Failure:
ApplicationTests::BinSetupTest#test_bin_setup_output [/home/yahonda/src/github.com/rails/rails/railties/test/application/bin_setup_test.rb:51]:
--- expected
+++ actual
@@ -2,10 +2,12 @@
 The Gemfile's dependencies are satisfied

 == Preparing database ==
+/home/yahonda/.rbenv/versions/trunk/lib/ruby/gems/3.3.0+0/gems/zeitwerk-2.6.12/lib/zeitwerk/kernel.rb:38: warning: mutex_m was loaded from the standard library, but will no longer be part of the default gems since Ruby 3.4.0. Add mutex_m to your Gemfile or gemspec.
 Created database 'app_development'
 Created database 'app_test'

 == Removing old logs and tempfiles ==
+/home/yahonda/.rbenv/versions/trunk/lib/ruby/gems/3.3.0+0/gems/zeitwerk-2.6.12/lib/zeitwerk/kernel.rb:38: warning: mutex_m was loaded from the standard library, but will no longer be part of the default gems since Ruby 3.4.0. Add mutex_m to your Gemfile or gemspec.

 == Restarting application server ==
 ""

bin/test test/application/bin_setup_test.rb:30

Finished in 12.553516s, 0.0797 runs/s, 0.0797 assertions/s.
1 runs, 1 assertions, 1 failures, 0 errors, 0 skips
$
```

### Additional information

This failure reproduces since this commit: 
https://github.com/ruby/ruby/commit/d411d8f5fe80b9c8f741ee03f91a670d5620917c


### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Changes that are unrelated should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [ ] Tests are added or updated if you fix a bug or add a feature.
* [ ] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.


"
50377,"Revert ""Lock `bigdecimal` version to 3.1.4 or lower""",yahonda,activesupport,2023-12-17T06:08:34Z,2023-12-17T06:23:45Z,2023-12-17T06:23:44Z,"Reverts rails/rails#50331

Since `bigdecimal` 3.1.5 has been released https://rubygems.org/gems/bigdecimal/versions/3.1.5 we no longer need to pin the bigdecimal version to 3.1.4 or lower.

Refer to the background information for this change.
https://github.com/ruby/ruby/pull/9163#issuecomment-1846994447"
50376,Add sqlite3 back to bug templates that need it,skipkayhil,docs,2023-12-17T05:15:20Z,2023-12-17T22:28:00Z,2023-12-17T06:23:08Z,"Ref #50317

The sqlite3 gem was removed during the merging of main and gem templates, but the resulting templates still depend on it.
"
50375,Fix issue with regression in integration tests when providing as: :html,mguan2020,actionpack,2023-12-17T04:56:12Z,2023-12-18T16:07:30Z,,"<!--
Thanks for contributing to Rails!

Please do not make *Draft* pull requests, as they still send
notifications to everyone watching the Rails repo.

Create a pull request when it is ready for review and feedback
from the Rails team :).

If your pull request affects documentation or any non-code
changes, guidelines for those changes are [available
here](https://edgeguides.rubyonrails.org/contributing_to_ruby_on_rails.html#contributing-to-the-rails-documentation)

About this template

The following template aims to help contributors write a good description for their pull requests.
We'd like you to provide a description of the changes in your pull request (i.e. bugs fixed or features added), motivation behind the changes, and complete the checklist below before opening a pull request.

Feel free to discard it if you need to (e.g. when you just fix a typo). -->

### Motivation / Background

<!--
Describe why this Pull Request needs to be merged. What bug have you fixed? What feature have you added? Why is it important?
If you are fixing a specific issue, include ""Fixes #ISSUE"" (replace with the issue number, remove the quotes) and the issue will be linked to this PR.
-->

This Pull Request has been created in order to fix issue #50345. 

### Detail

This Pull Request solves the problem in Rails 7.1 where providing as: :html in the integration test for ActionDispatch causes a ""undefined method to_html"" error to be thrown.

To solve this issue, this Pull Request registers a param_encoder in addition to a HTML encoder in order to perform the request to the controller. 

As a result, both the new tests provided in content_type_test.rb as well as the original tests for ActionDispatch are working.

### Additional information

<!-- Provide additional information such as benchmarks, reference to other repositories or alternative solutions. -->

### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Changes that are unrelated should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [x] Tests are added or updated if you fix a bug or add a feature.
* [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
50374,Replace outdated links with correct links,euglena1215,,2023-12-17T04:52:01Z,2023-12-17T05:09:49Z,2023-12-17T05:08:55Z,"<!--
Thanks for contributing to Rails!

Please do not make *Draft* pull requests, as they still send
notifications to everyone watching the Rails repo.

Create a pull request when it is ready for review and feedback
from the Rails team :).

If your pull request affects documentation or any non-code
changes, guidelines for those changes are [available
here](https://edgeguides.rubyonrails.org/contributing_to_ruby_on_rails.html#contributing-to-the-rails-documentation)

About this template

The following template aims to help contributors write a good description for their pull requests.
We'd like you to provide a description of the changes in your pull request (i.e. bugs fixed or features added), motivation behind the changes, and complete the checklist below before opening a pull request.

Feel free to discard it if you need to (e.g. when you just fix a typo). -->


### Detail

The changes to https://github.com/rails/rails/commit/860ab28ff5ebfe78e0b2e259ce4db743a77f5e8b have merged the bug report templates into one. 
Since the template for the main branch has been removed, the link that was previously in CONTRIBUTING.md is invalid.

So I replaced them with the changed links.

### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Changes that are unrelated should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [ ] ~~Tests are added or updated if you fix a bug or add a feature.~~
* [ ] ~~CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.~~
"
50373,Expose `assert_queries_match` and `assert_no_queries_match` assertions,fatkodima,"activerecord, actionview, activestorage, actiontext",2023-12-16T21:45:34Z,2023-12-21T13:36:49Z,2023-12-21T11:59:10Z,"Follow up to https://github.com/rails/rails/pull/50281.

The originally introduced (exposed) helpers are a bit limited. For example:
1. we must specify an exact number of queries we are expecting
2. only application related queries are considered, schema/transactions related queries are always skipped
3. only one matcher can be specified

These limitations work most of the time for regular users, but not when trying to test some lower behavior (for example, inside some gem's tests).

For example, it was not possible to test that an index and a foreign key are created when running some operation.
Now, this can be done via:
```ruby
assert_queries_match(/create index/i, include_schema: true) do
  do_something
end
```

cc @byroot @p8 
"
50372, Fix bug #50315: Foreign key don't handle derive_fk_query_constraints properly.,rubyrider,activerecord,2023-12-16T16:56:57Z,2023-12-19T19:47:47Z,2023-12-19T19:47:40Z,"This Pull Request fix the bug https://github.com/rails/rails/issues/50315

possibly could fix this issue https://github.com/rails/rails/issues/50256 as well.

### Detail

Foreign key don't handle derive_fk_query_constraints properly. 

### Additional information

Here `#derive_fk_query_constraints` returns an array of two keys. But foreign key should only return the derived foreign key which is the last element of the #derive_fk_query_constraints.

```ruby
     def foreign_key(infer_from_inverse_of: true)
        @foreign_key ||= if options[:query_constraints]
          options[:query_constraints].map { |fk| fk.to_s.freeze }.freeze
        elsif options[:foreign_key]
          options[:foreign_key].to_s
        else
          derived_fk = derive_foreign_key(infer_from_inverse_of: infer_from_inverse_of)

          if active_record.has_query_constraints?
            derived_fk = derive_fk_query_constraints(derived_fk).last
          end

          derived_fk
        end
      end
```

A test coverage has been provided: https://github.com/rails/rails/pull/50372/files#diff-62fd84c8da9a63fa077a6fdea8acaac0df9e275b580aa1359a5c9416077fcd60R502

### Checklist

Before submitting the PR make sure the following are checked:

* [ ] This Pull Request is related to one change. Changes that are unrelated should be opened in separate PRs.
* [ ] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [x] Tests are added or updated if you fix a bug or add a feature.
* [ ] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
50371,Ensure SQLite transaction default to IMMEDIATE mode,fractaledmind,activerecord,2023-12-16T16:24:50Z,2023-12-23T10:56:26Z,,"### Motivation / Background

As SQLite's popularity grows as a production database engine for Rails applications, so does the need for robust and resilient default configuration. One of the most common issues faced when using SQLite in a Rails application are the occasional ActiveRecord::StatementInvalid (SQLite3::BusyException: database is locked) exceptions. These occur when a DEFERRED transaction attempts to acquire the SQLite database lock in the middle of a transaction once hitting a write query while another connection holds the database lock. Since this occurs in the middle of a transaction, SQLite does not attempt to retry to transaction by calling the set `busy_handler`/`busy_timeout` callback, but instead immediately errors with a busy exception.

### Detail

This Pull Request sets the `default_transaction_mode` to `:immediate` on the `@connection_parameters`, which are passed to the `SQLite3::Database` instance being initialized. This option is picked up by the `SQLite3::Database` object and drives that implementation of `#transaction`:  https://github.com/sparklemotion/sqlite3-ruby/blob/302e9c0328bff2bb04e1d4a54614140ca06f3648/lib/sqlite3/database.rb#L133

If truly desired, application developers can manually set their own `default_transaction_mode` by defining that key in the `config/database.yml` file.

### Additional information

Alongside https://github.com/rails/rails/pull/50370, this PR stabilizes SQLite's ability to handle concurrency without throwing intermittent but frequent busy exceptions.

### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Changes that are unrelated should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [x] Tests are added or updated if you fix a bug or add a feature.
* [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
